Loan,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary,PropOcc,PropState,PropType,Purpose
103402475,370500,777,34.704,0,0,0,1,Primary,VA,SFR_At,Rate/Term
103402686,158400,704,36.902,0,0,1,1,Primary,TX,SFR_At,Cashout
103403057,212500,742,49.979,0,0,0,1,Primary,MA,SFR_Dt,Rate/Term
103403165,423695,738,39.596,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103403998,260000,691,47.851,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103404032,316500,639,44.744,0,0,1,1,Primary,VA,SFR_At,Cashout
103405231,224000,677,45.221,0,0,0,1,Primary,RI,CondoLo,Rate/Term
103405745,401250,677,44.407,0,0,1,1,Primary,TX,SFR_At,Cashout
103407768,170200,782,49.306,0,0,0,1,Primary,PA,SFR_Dt,Rate/Term
103408023,80298,714,42.175,0,0,0,1,Primary,TX,SFR_Dt,Purchase
103408508,292800,694,30.631,0,0,0,1,Primary,NC,SFR_At,Rate/Term
103408815,401600,687,44.346,0,0,1,1,Primary,GA,SFR_Dt,Cashout
103408844,200000,652,31.783,0,0,1,1,Primary,AZ,SFR_Dt,Cashout
103408926,83100,683,36.032,0,0,0,1,Primary,KS,SFR_At,Rate/Term
103409002,581000,699,50.394,1,1,0,0,NOO,CA,SFR_Dt,Rate/Term
103409447,278500,641,41.912,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103409503,432000,709,34.784,0,1,1,0,NOO,CA,SFR_Dt,Cashout
103409533,129400,753,43.135,0,0,0,1,Primary,KS,SFR_At,Rate/Term
103409559,200000,812,47.745,0,0,1,1,Primary,OK,SFR_Dt,Cashout
103409652,165000,654,33.74,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103409816,132981,679,27.277,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103410038,277200,720,29.65,0,0,1,1,Primary,MN,SFR_Dt,Cashout
103410871,407260,702,41.888,0,0,0,1,Primary,TX,SFR_At,Rate/Term
103411620,60000,717,30.451,0,0,1,1,Primary,IL,CondoLo,Cashout
103411641,360000,743,49.01,0,0,1,1,Primary,OR,SFR_Dt,Cashout
103411781,456000,672,41.569,0,0,0,1,Primary,MI,SFR_Dt,Rate/Term
103412684,100000,730,35.002,0,0,1,1,Primary,MI,SFR_Dt,Cashout
103412918,228455,727,27.747,0,0,0,1,Primary,FL,SFR_At,Rate/Term
103413643,234971,664,31.755,0,0,1,1,Primary,NY,2 Unit,Cashout
103414203,60000,743,43.355,0,0,1,0,Second,VT,SFR_Dt,Cashout
103414908,100000,639,36.57,0,0,1,0,NOO,NV,SFR_Dt,Cashout
103415773,255200,694,47.799,0,1,0,1,Primary,CA,CondoLo,Rate/Term
103415935,223000,742,23.743,0,0,0,1,Primary,MN,SFR_Dt,Rate/Term
103416238,365000,737,23.511,0,0,0,1,Primary,GA,SFR_At,Rate/Term
